id,bairro,classificacao,latitude,longitude,populacao,risco
726,Avenida Aricanduva,Inundação,-23.5644,-46.5147,288.662,23
727,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.582,-46.5777,514.827,31
728,Avenida Aricanduva,Inundação,-23.5636,-46.5105,263.568,25
729,Avenida Aricanduva,Inundação,-23.5713,-46.5048,258.792,23
730,Franco da Rocha,Deslizamento,-23.3258,-46.7324,134.937,51
731,Franco da Rocha,Deslizamento,-23.327,-46.7244,167.445,51
732,Avenida Aricanduva,Inundação,-23.5659,-46.5041,226.736,25
733,Avenida Aricanduva,Inundação,-23.5659,-46.5081,246.44,26
734,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5767,-46.5777,471.169,33
735,Litoral Paulista,Deslizamento,-23.5028,-48.0561,200.538,53
736,Franco da Rocha,Deslizamento,-23.3249,-46.7205,131.204,51
737,Mairiporã,Deslizamento,-23.2054,-46.351,106.478,83
738,Franco da Rocha,Deslizamento,-23.3245,-46.7276,146.388,53
739,Franco da Rocha,Deslizamento,-23.3274,-46.7242,135.784,52
740,Avenida Aricanduva,Inundação,-23.5693,-46.5151,239.29,26
741,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5815,-46.5777,469.518,32
742,Franco da Rocha,Deslizamento,-23.3245,-46.7284,160.716,49
743,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5843,-46.5886,458.354,27
744,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5803,-46.5864,433.66,32
745,Mairiporã,Deslizamento,-23.2056,-46.3473,99.946,79
746,Litoral Paulista,Deslizamento,-23.5014,-48.0497,222.51,49
747,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5834,-46.5782,455.55,28
748,Mairiporã,Deslizamento,-23.2023,-46.3501,83.81,83
749,Litoral Paulista,Deslizamento,-23.4969,-48.0539,226.214,53
750,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5818,-46.5885,539.72,29
751,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5819,-46.5836,427.719,27
752,Mairiporã,Deslizamento,-23.2099,-46.3517,99.616,81
753,Mairiporã,Deslizamento,-23.2,-46.3552,83.453,80
754,Franco da Rocha,Deslizamento,-23.3214,-46.7216,164.727,47
755,Mairiporã,Deslizamento,-23.209,-46.3547,98.762,81
756,Mairiporã,Deslizamento,-23.1979,-46.3528,97.376,79
757,Litoral Paulista,Deslizamento,-23.5014,-48.0514,171.101,48
758,Avenida Aricanduva,Inundação,-23.5701,-46.5051,293.765,25
759,Franco da Rocha,Deslizamento,-23.3143,-46.7278,150.844,52
760,Avenida Aricanduva,Inundação,-23.557,-46.5081,251.729,24
761,Mairiporã,Deslizamento,-23.2054,-46.3533,85.177,82
762,Avenida Aricanduva,Inundação,-23.5656,-46.5054,278.507,24
763,Mairiporã,Deslizamento,-23.2049,-46.346,107.882,77
764,Avenida Aricanduva,Inundação,-23.5629,-46.5155,234.374,22
765,Avenida Aricanduva,Inundação,-23.5607,-46.5077,288.5,26
766,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5779,-46.5901,456.086,30
767,Litoral Paulista,Deslizamento,-23.5018,-48.0512,191.009,52
768,Litoral Paulista,Deslizamento,-23.5055,-48.0577,206.531,51
769,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5758,-46.581,519.859,28
770,Avenida Aricanduva,Inundação,-23.5654,-46.5055,247.721,24
771,Franco da Rocha,Deslizamento,-23.3261,-46.7316,146.854,50
772,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5819,-46.5873,436.546,28
773,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5839,-46.5772,523.927,27
774,Franco da Rocha,Deslizamento,-23.3258,-46.72,156.388,47
775,Litoral Paulista,Deslizamento,-23.4948,-48.0544,186.894,49
776,Avenida Aricanduva,Inundação,-23.5598,-46.516,288.088,28
777,Avenida Aricanduva,Inundação,-23.5656,-46.5013,288.879,23
778,Litoral Paulista,Deslizamento,-23.496,-48.0594,183.217,51
779,Litoral Paulista,Deslizamento,-23.4939,-48.0579,203.644,52
780,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5775,-46.5834,455.16,33
781,Litoral Paulista,Deslizamento,-23.501,-48.0511,175.835,49
782,Franco da Rocha,Deslizamento,-23.3208,-46.7339,131.983,50
783,Avenida Aricanduva,Inundação,-23.5678,-46.505,290.472,23
784,Mairiporã,Deslizamento,-23.195,-46.3554,84.344,81
785,Litoral Paulista,Deslizamento,-23.5059,-48.0614,191.817,49
786,Mairiporã,Deslizamento,-23.2108,-46.358,92.323,82
787,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5787,-46.5854,444.897,29
788,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.581,-46.5803,554.665,28
789,Mairiporã,Deslizamento,-23.2017,-46.3434,105.37,79
790,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5787,-46.5841,459.331,29
791,Mairiporã,Deslizamento,-23.1961,-46.3538,98.647,79
792,Litoral Paulista,Deslizamento,-23.4921,-48.0461,209.18,47
793,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5786,-46.5808,433.002,29
794,Litoral Paulista,Deslizamento,-23.4972,-48.051,192.58,53
795,Mairiporã,Deslizamento,-23.2083,-46.3513,103.438,83
796,Franco da Rocha,Deslizamento,-23.3196,-46.7306,134.745,53
797,Avenida Aricanduva,Inundação,-23.5664,-46.5137,229.479,23
798,Franco da Rocha,Deslizamento,-23.3166,-46.7323,128.568,47
799,Mairiporã,Deslizamento,-23.1998,-46.3459,106.723,82
800,Mairiporã,Deslizamento,-23.2008,-46.344,109.036,78
801,Litoral Paulista,Deslizamento,-23.4947,-48.0515,174.888,49
802,Avenida Aricanduva,Inundação,-23.5673,-46.5162,228.633,23
803,Franco da Rocha,Deslizamento,-23.3203,-46.7209,167.5,52
804,Mairiporã,Deslizamento,-23.2076,-46.3455,109.167,79
805,Litoral Paulista,Deslizamento,-23.4952,-48.0476,177.691,49
806,Avenida Aricanduva,Inundação,-23.5695,-46.5059,274.223,22
807,Litoral Paulista,Deslizamento,-23.507,-48.0564,174.195,53
808,Avenida Aricanduva,Inundação,-23.5599,-46.5034,300.95,24
809,Mairiporã,Deslizamento,-23.1984,-46.3526,88.094,79
810,Avenida Aricanduva,Inundação,-23.5721,-46.5019,232.071,28
811,Litoral Paulista,Deslizamento,-23.4995,-48.046,180.141,50
812,Mairiporã,Deslizamento,-23.2058,-46.3545,89.984,80
813,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5859,-46.5846,526.099,30
814,Litoral Paulista,Deslizamento,-23.5053,-48.0474,216.825,52
815,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5767,-46.579,517.583,32
816,Litoral Paulista,Deslizamento,-23.5003,-48.0493,188.406,49
817,Avenida Aricanduva,Inundação,-23.5686,-46.5092,232.665,28
818,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5768,-46.5894,487.791,27
819,Litoral Paulista,Deslizamento,-23.5024,-48.053,229.736,47
820,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.585,-46.5817,551.016,27
821,Franco da Rocha,Deslizamento,-23.315,-46.7347,151.267,51
822,Franco da Rocha,Deslizamento,-23.3221,-46.7273,165.486,53
823,Franco da Rocha,Deslizamento,-23.3162,-46.7285,142.499,50
824,Mairiporã,Deslizamento,-23.1988,-46.3573,88.925,77
825,Franco da Rocha,Deslizamento,-23.3272,-46.7259,153.816,48
826,Avenida Aricanduva,Inundação,-23.5575,-46.5021,285.28,24
827,Avenida Aricanduva,Inundação,-23.5704,-46.5033,265.263,27
828,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5755,-46.5806,511.492,33
829,Franco da Rocha,Deslizamento,-23.3174,-46.731,170.023,49
830,Avenida Aricanduva,Inundação,-23.5641,-46.5035,289.615,27
831,Avenida Aricanduva,Inundação,-23.5622,-46.5135,243.513,23
832,Avenida Aricanduva,Inundação,-23.569,-46.5128,226.152,28
833,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5773,-46.5803,537.54,32
834,Avenida Aricanduva,Inundação,-23.5657,-46.5114,233.583,23
835,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5748,-46.5752,516.491,29
836,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5774,-46.5809,425.965,30
837,Franco da Rocha,Deslizamento,-23.3188,-46.7252,161.979,53
838,Franco da Rocha,Deslizamento,-23.3187,-46.72,144.643,52
839,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5873,-46.5898,455.667,33
840,Franco da Rocha,Deslizamento,-23.3218,-46.7252,168.748,48
841,Avenida Aricanduva,Inundação,-23.565,-46.5162,228.886,22
842,Franco da Rocha,Deslizamento,-23.323,-46.7216,134.947,49
843,Mairiporã,Deslizamento,-23.2038,-46.3555,84.616,77
844,Litoral Paulista,Deslizamento,-23.5062,-48.0521,187.05,52
845,Avenida Aricanduva,Inundação,-23.5669,-46.5042,257.389,24
846,Mairiporã,Deslizamento,-23.2006,-46.3559,99.492,81
847,Litoral Paulista,Deslizamento,-23.4946,-48.047,192.145,52
848,Litoral Paulista,Deslizamento,-23.496,-48.0549,175.428,47
849,Mairiporã,Deslizamento,-23.2043,-46.3546,92.91,78
850,Mairiporã,Deslizamento,-23.2008,-46.3497,102.337,82
851,Avenida Aricanduva,Inundação,-23.5594,-46.5018,296.711,25
852,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5754,-46.5849,493.343,28
853,Franco da Rocha,Deslizamento,-23.3187,-46.725,172.331,48
854,Avenida Aricanduva,Inundação,-23.5676,-46.5157,261.435,22
855,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5845,-46.5769,565.323,28
856,Avenida Aricanduva,Inundação,-23.5698,-46.5144,245.251,25
857,Litoral Paulista,Deslizamento,-23.5009,-48.0538,184.984,52
858,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5755,-46.5799,465.956,29
859,Mairiporã,Deslizamento,-23.2063,-46.3575,110.794,77
860,Mairiporã,Deslizamento,-23.2076,-46.3487,95.229,78
861,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5757,-46.5758,472.082,33
862,Franco da Rocha,Deslizamento,-23.323,-46.7233,170.083,51
863,Franco da Rocha,Deslizamento,-23.3162,-46.7218,135.518,51
864,Franco da Rocha,Deslizamento,-23.3281,-46.7241,170.519,52
865,Avenida Aricanduva,Inundação,-23.5613,-46.5069,272.672,23
866,Litoral Paulista,Deslizamento,-23.5023,-48.0611,183.258,53
867,Avenida Aricanduva,Inundação,-23.5637,-46.5153,295.767,28
868,Mairiporã,Deslizamento,-23.2044,-46.3503,110.827,83
869,Mairiporã,Deslizamento,-23.1982,-46.3576,100.091,83
870,Litoral Paulista,Deslizamento,-23.5061,-48.0461,183.065,47
871,Mairiporã,Deslizamento,-23.2015,-46.3475,84.112,82
872,Mairiporã,Deslizamento,-23.2025,-46.3576,88.223,79
873,Litoral Paulista,Deslizamento,-23.5041,-48.055,217.832,53
874,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5831,-46.5847,432.552,30
875,Franco da Rocha,Deslizamento,-23.3189,-46.7277,137.915,53
876,Franco da Rocha,Deslizamento,-23.326,-46.7258,143.895,51
877,Franco da Rocha,Deslizamento,-23.3288,-46.7207,163.489,52
878,Franco da Rocha,Deslizamento,-23.3247,-46.7317,131.522,47
879,Litoral Paulista,Deslizamento,-23.4945,-48.0583,193.052,51
880,Litoral Paulista,Deslizamento,-23.5018,-48.0545,188.385,49
881,Avenida Aricanduva,Inundação,-23.5711,-46.5021,280.673,22
882,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5895,-46.5827,486.162,32
883,Mairiporã,Deslizamento,-23.2005,-46.3438,99.66,82
884,Litoral Paulista,Deslizamento,-23.5044,-48.058,200.939,53
885,Mairiporã,Deslizamento,-23.2103,-46.3482,102.186,80
886,Avenida Aricanduva,Inundação,-23.5621,-46.502,229.834,26
887,Litoral Paulista,Deslizamento,-23.502,-48.0577,176.529,50
888,Litoral Paulista,Deslizamento,-23.4995,-48.0532,186.873,53
889,Avenida Aricanduva,Inundação,-23.5641,-46.5165,298.498,25
890,Litoral Paulista,Deslizamento,-23.5045,-48.0535,212.819,49
891,Mairiporã,Deslizamento,-23.2068,-46.3543,107.711,83
892,Avenida Aricanduva,Inundação,-23.5583,-46.5068,276.36,24
893,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.585,-46.5896,542.145,33
894,Avenida Aricanduva,Inundação,-23.5659,-46.5027,278.613,27
895,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5862,-46.5886,540.219,32
896,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5765,-46.5826,502.114,31
897,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5808,-46.5851,430.89,29
898,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5899,-46.5746,569.862,30
899,Franco da Rocha,Deslizamento,-23.3183,-46.7295,157.953,52
900,Mairiporã,Deslizamento,-23.1959,-46.3529,106.15,79
901,Litoral Paulista,Deslizamento,-23.4922,-48.0614,206.418,53
902,Franco da Rocha,Deslizamento,-23.3231,-46.7301,136.633,48
903,Mairiporã,Deslizamento,-23.1968,-46.3526,97.744,83
904,Franco da Rocha,Deslizamento,-23.3274,-46.7323,146.552,47
905,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5756,-46.589,483.966,33
906,Franco da Rocha,Deslizamento,-23.3292,-46.7324,142.832,48
907,Mairiporã,Deslizamento,-23.2072,-46.346,110.991,83
908,Franco da Rocha,Deslizamento,-23.3263,-46.7211,169.463,48
909,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5892,-46.5897,511.092,28
910,Mairiporã,Deslizamento,-23.2105,-46.35,83.491,80
911,Mairiporã,Deslizamento,-23.2061,-46.3587,100.428,81
912,Avenida Aricanduva,Inundação,-23.5574,-46.5083,248.064,24
913,Avenida Aricanduva,Inundação,-23.5662,-46.5037,290.391,26
914,Franco da Rocha,Deslizamento,-23.3264,-46.7219,169.64,50
915,Avenida Aricanduva,Inundação,-23.5722,-46.507,249.029,28
916,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5794,-46.5764,538.863,31
917,Mairiporã,Deslizamento,-23.2032,-46.3482,99.384,81
918,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5867,-46.5856,561.62,31
919,Avenida Aricanduva,Inundação,-23.5613,-46.5115,258.636,23
920,Litoral Paulista,Deslizamento,-23.4948,-48.0524,190.442,48
921,Litoral Paulista,Deslizamento,-23.5041,-48.0462,190.88,50
922,Avenida Aricanduva,Inundação,-23.568,-46.515,234.969,27
923,Avenida Aricanduva,Inundação,-23.5622,-46.5038,279.813,25
924,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5836,-46.5878,535.693,31
925,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5894,-46.5745,429.503,27
926,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5819,-46.5884,450.359,33
927,Mairiporã,Deslizamento,-23.2018,-46.3454,91.655,81
928,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5831,-46.5832,517.816,27
929,Litoral Paulista,Deslizamento,-23.5011,-48.0573,177.928,51
930,Avenida Aricanduva,Inundação,-23.5633,-46.5086,246.336,22
931,Franco da Rocha,Deslizamento,-23.3221,-46.7319,157.096,51
932,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5773,-46.5807,501.746,29
933,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5854,-46.5888,569.573,29
934,Avenida Aricanduva,Inundação,-23.5706,-46.5028,301.425,22
935,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5808,-46.5834,466.388,27
936,Litoral Paulista,Deslizamento,-23.5006,-48.0467,189.619,47
937,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.586,-46.5799,456.85,27
938,Avenida Aricanduva,Inundação,-23.5618,-46.5152,305.653,23
939,Franco da Rocha,Deslizamento,-23.3151,-46.7297,148.679,47
940,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5887,-46.5862,429.178,30
941,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5832,-46.5815,451.197,29
942,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5794,-46.5749,432.563,30
943,Litoral Paulista,Deslizamento,-23.4988,-48.0528,200.217,48
944,Litoral Paulista,Deslizamento,-23.4984,-48.0563,225.261,50
945,Avenida Aricanduva,Inundação,-23.5571,-46.5054,288.725,26
946,Avenida Aricanduva,Inundação,-23.5633,-46.5121,292.935,25
947,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5807,-46.5862,538.45,29
948,Litoral Paulista,Deslizamento,-23.4974,-48.0517,205.813,53
949,Avenida Aricanduva,Inundação,-23.5678,-46.5064,270.515,28
950,Avenida Aricanduva,Inundação,-23.5582,-46.5096,265.918,26
951,Litoral Paulista,Deslizamento,-23.4937,-48.0515,187.482,52
952,Mairiporã,Deslizamento,-23.211,-46.3479,93.626,79
953,Litoral Paulista,Deslizamento,-23.4927,-48.0527,201.069,52
954,Franco da Rocha,Deslizamento,-23.3239,-46.7243,172.274,49
955,Franco da Rocha,Deslizamento,-23.3238,-46.7273,133.926,49
956,Mairiporã,Deslizamento,-23.2025,-46.3453,112.38,82
957,Mairiporã,Deslizamento,-23.198,-46.3541,92.133,77
958,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5792,-46.5794,472.286,29
959,Franco da Rocha,Deslizamento,-23.3199,-46.7329,153.779,50
960,Avenida Aricanduva,Inundação,-23.5618,-46.5049,295.754,27
961,Mairiporã,Deslizamento,-23.1993,-46.3494,88.638,80
962,Franco da Rocha,Deslizamento,-23.3254,-46.7279,155.519,52
963,Mairiporã,Deslizamento,-23.2079,-46.3573,111.438,79
964,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5852,-46.5859,540.727,29
965,Mairiporã,Deslizamento,-23.2016,-46.3506,90.02,78
966,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5769,-46.5896,499.719,32
967,Avenida Aricanduva,Inundação,-23.5681,-46.5072,297.755,24
968,Avenida Aricanduva,Inundação,-23.5613,-46.5112,277.249,26
969,Avenida Aricanduva,Inundação,-23.57,-46.5058,270.506,24
970,Mairiporã,Deslizamento,-23.1964,-46.359,92.428,77
971,Litoral Paulista,Deslizamento,-23.4957,-48.0506,190.071,52
972,Avenida Aricanduva,Inundação,-23.5667,-46.5049,262.344,24
973,Avenida Aricanduva,Inundação,-23.558,-46.513,235.712,25
974,Mairiporã,Deslizamento,-23.1955,-46.3533,84.981,79
975,Franco da Rocha,Deslizamento,-23.3219,-46.7324,157.367,47
976,Mairiporã,Deslizamento,-23.2038,-46.3536,94.921,83
977,Franco da Rocha,Deslizamento,-23.3234,-46.7288,157.439,52
978,Avenida Aricanduva,Inundação,-23.5666,-46.5097,259.214,28
979,Franco da Rocha,Deslizamento,-23.3147,-46.7326,149.223,53
980,Litoral Paulista,Deslizamento,-23.5062,-48.0479,188.03,50
981,Litoral Paulista,Deslizamento,-23.4972,-48.0612,207.405,52
982,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5866,-46.5896,479.547,31
983,Mairiporã,Deslizamento,-23.2091,-46.3552,91.832,80
984,Mairiporã,Deslizamento,-23.2001,-46.3498,87.514,80
985,Avenida Aricanduva,Inundação,-23.5589,-46.5081,295.521,28
986,Avenida Aricanduva,Inundação,-23.5632,-46.5086,251.566,28
987,Franco da Rocha,Deslizamento,-23.3167,-46.7337,149.197,50
988,Avenida Aricanduva,Inundação,-23.5597,-46.5045,248.21,28
989,Litoral Paulista,Deslizamento,-23.506,-48.0478,228.485,51
990,Avenida Aricanduva,Inundação,-23.5724,-46.5105,267.299,28
991,Litoral Paulista,Deslizamento,-23.5078,-48.0475,179.127,50
992,Mairiporã,Deslizamento,-23.2055,-46.3453,83.539,81
993,Franco da Rocha,Deslizamento,-23.3209,-46.7294,155.216,53
994,Litoral Paulista,Deslizamento,-23.5061,-48.0598,181.538,48
995,Avenida Aricanduva,Inundação,-23.561,-46.5025,292.763,28
996,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5829,-46.5871,464.671,28
997,Litoral Paulista,Deslizamento,-23.5069,-48.0583,226.349,48
998,Franco da Rocha,Deslizamento,-23.3229,-46.7348,138.856,53
999,Avenida Aricanduva,Inundação,-23.5664,-46.5168,264.271,23
1000,Litoral Paulista,Deslizamento,-23.4949,-48.0486,217.482,51
